fname, age, lname
Jessica, 1, Walls
Alexis, 25, Dodson
Lori, 79, Hughes
Nicholas, 77, Clark
Evelyn, 94, Tran
Cody, 2, Avila
Eric, 4, Hart
Anita, 41, Russell
Shawn, 79, Wright
Daniel, 35, Miller
Jordan, 96, Conway
Charles, 99, Mason
James, 65, Richard
Joel, 53, Wu
Natalie, 4, Gomez
Billy, 32, Curry
Zachary, 56, Howe
Tyler, 99, Adams
Raymond, 55, Harrison
Taylor, 71, Huang
Jerry, 22, Mcmahon
Emily, 79, Henderson
Devin, 49, Dean
Derek, 42, Bates
Reginald, 38, James
Tony, 93, Hopkins
Ryan, 38, Owens
Kimberly, 3, Friedman
Steven, 40, Parker
Charles, 86, Elliott
Elizabeth, 62, Harris
John, 19, Lewis
Raymond, 81, Stevens
Jeremy, 98, Hayes
Jerry, 84, Mathews
Donald, 69, Gonzalez
Jaclyn, 73, Madden
Jason, 15, Mendoza
Melissa, 37, Patterson
Denise, 13, Gardner
Erin, 75, Gilbert
Lucas, 64, Russell
Sarah, 31, Little
Zachary, 15, Wade
Paula, 2, Soto
Dawn, 8, Hahn
Cindy, 49, Fowler
Matthew, 34, Williams
Jason, 18, Fox
Dale, 73, Malone
Dylan, 18, Skinner
Diane, 10, Johnson
Justin, 97, Williams
Tina, 5, Richmond
Kevin, 54, Benton
Jessica, 46, Wilson
Randy, 59, Schwartz
Rachael, 4, Duffy
Debra, 39, Green
Thomas, 98, Ingram
Lisa, 24, Jordan
Adam, 22, Cooper
William, 85, Green
Ashley, 87, Brewer
Victor, 4, Campbell
James, 42, Davis
Danielle, 74, Hogan
Russell, 41, Clark
Courtney, 78, Powers
Ryan, 55, Mills
Ricardo, 62, Wood
Catherine, 79, Mendez
Mark, 15, Owens
Jessica, 75, Graham
Catherine, 62, Perry
Christine, 19, Malone
Alexandra, 53, Bradley
Daniel, 56, Coffey
Lauren, 76, Tanner
Allison, 66, Martinez
James, 32, Jenkins
Paul, 58, Carlson
Cindy, 53, Davis
Taylor, 32, Ross
Jessica, 88, White
Jason, 62, Vazquez
Raymond, 94, Williams
Reginald, 14, Hoffman
Tanya, 23, Thomas
Linda, 66, Weaver
Carolyn, 27, Park
Christopher, 33, Cherry
Michael, 15, Russell
Mark, 43, Williams
Shannon, 92, Foley
Felicia, 19, Howell
Paul, 3, Fischer
Nicole, 8, Carter
Carrie, 25, Peterson
Nicole, 20, Klein
Scott, 72, May
Crystal, 52, Bradshaw
Maria, 59, Brewer
Nancy, 2, Johnson
Sarah, 29, Porter
Seth, 58, Green
Anna, 14, Brown
Andrew, 65, Moore
Fred, 3, Hall
Jerome, 15, Hansen
Tonya, 39, Jones
Kendra, 89, Walton
Ricky, 94, White
Megan, 71, Hayes
Madison, 50, Smith
Michael, 79, Davis
Brandi, 37, Walker
Kelly, 61, Skinner
Michael, 31, Lee
Eric, 37, Hatfield
Allen, 72, Snyder
Michael, 44, Parker
Michael, 23, Phillips
Briana, 66, Lopez
Brian, 16, Bell
Robert, 11, Cruz
Shannon, 49, Sanchez
Diane, 21, Tapia
Brendan, 59, Conrad
Andrew, 34, Cabrera
Wendy, 26, Sullivan
David, 66, Clay
Lisa, 4, Ortega
David, 22, Hunt
Willie, 16, Mitchell
Katelyn, 42, Schwartz
Deborah, 80, Berry
Joseph, 17, Shaw
Elizabeth, 35, Scott
Ricardo, 31, Cunningham
Danielle, 21, Spencer
Kyle, 65, Savage
Alex, 15, Mayer
Richard, 31, Armstrong
Joe, 17, Bentley
Ray, 30, Salas
Christopher, 69, Cook
Jacob, 21, Murray
Sarah, 95, Wiggins
Crystal, 22, Chambers
Anthony, 33, Pena
Sandra, 26, Brady
Michael, 24, Cooper
Courtney, 20, Hernandez
Kyle, 12, Young
Beth, 71, Stanley
Shelby, 69, Garcia
Jason, 52, Sullivan
Tyler, 87, Finley
William, 36, Boone
Joshua, 76, Brewer
John, 34, Nichols
Martin, 74, Mcdonald
Jennifer, 8, Flowers
Tiffany, 99, Garcia
Ross, 53, Phillips
Barbara, 27, Brown
Douglas, 13, Jarvis
Alice, 61, Adams
Gabriel, 3, Gray
Cynthia, 72, Sanders
Jeanne, 26, Rodriguez
Brandon, 8, Phillips
Cathy, 56, French
David, 81, Kelly
Justin, 89, Robertson
Rachael, 36, Jackson
Jonathan, 47, Russell
James, 85, Gallegos
Dalton, 60, Robles
Jeffery, 41, Larsen
Jasmine, 36, Ingram
Jared, 94, Mathis
Andrea, 75, Perez
Antonio, 38, Richards
Dennis, 1, Buchanan
Brian, 42, Taylor
Maria, 63, Bennett
Terry, 77, Arias
Kim, 2, Blackwell
Anthony, 13, Hunt
Michael, 33, Parker
Matthew, 29, Brown
John, 70, Fischer
Louis, 78, Smith
Johnny, 14, Haynes
Katherine, 4, Stevens
Kurt, 33, Raymond
Taylor, 43, Smith
Stephanie, 53, Brown
Tracey, 85, Griffith
Jessica, 84, Scott
Charles, 1, Aguilar
Tracy, 98, Jones
Misty, 61, Ramirez
Debbie, 65, Marsh
Lisa, 8, Simpson
Robert, 10, Richardson
Ariel, 62, Church
Jonathan, 68, Perry
Monique, 50, Jones
Linda, 3, Sparks
Brooke, 44, Soto
Stefanie, 46, Warren
Amber, 30, Stein
Carrie, 95, Benson
Megan, 8, Dougherty
Chad, 17, Perez
Patrick, 57, Gordon
Desiree, 67, Harrington
Justin, 73, Wilson
Alexander, 78, Green
Philip, 66, Caldwell
James, 24, Ruiz
David, 24, Young
Angela, 42, Ochoa
Adam, 39, Johnson
Patrick, 39, Chapman
Jeffrey, 74, Anderson
Allison, 76, Williams
Joshua, 86, Diaz
Willie, 74, Perkins
Angelica, 37, Stout
David, 91, Mitchell
Stephen, 20, Farrell
Scott, 50, Miller
Mark, 51, Spears
Robert, 49, Monroe
William, 80, Alexander
Marilyn, 42, Bailey
Robert, 28, Walker
Jonathan, 16, Mata
Raymond, 13, Moon
Mark, 66, Grant
Eric, 73, Cohen
Miranda, 26, Reed
William, 74, Mcdonald
Kurt, 67, Williamson
Daniel, 3, Higgins
Alisha, 73, Brown
Lauren, 25, Porter
Xavier, 73, Bowman
Jennifer, 10, Lee
Elizabeth, 71, Larson
Maria, 94, Foster
Amanda, 21, Ellis
Ryan, 85, Harris
Karen, 19, Anderson
Timothy, 30, Anderson
Matthew, 53, Sanders
Rebecca, 77, Bates
Adam, 15, Harris
Tyler, 23, Lopez
Daniel, 86, Beck
Joshua, 43, Jones
Sarah, 5, Harris
Daisy, 39, Patel
Julia, 34, Chavez
James, 13, Mitchell
Matthew, 24, Brown
Leslie, 57, Thomas
Phillip, 97, Hudson
Lynn, 10, Ferguson
Valerie, 8, Anderson
Amber, 24, Alexander
James, 27, Martin
Brian, 86, Hendrix
Sabrina, 31, Green
Stephen, 55, Willis
Amanda, 61, Robinson
Mark, 96, Bradford
Timothy, 27, Rose
Casey, 64, Smith
Janice, 69, Macias
Angela, 79, Webb
Antonio, 16, Duncan
Michael, 16, Padilla
Brandi, 100, Jones
Cody, 50, Williams
Charles, 43, Cruz
Edward, 68, Trujillo
Glenda, 30, Martinez
Paula, 75, Ball
Derek, 23, Hill
Sherry, 78, Burns
Lisa, 82, Petersen
Suzanne, 49, Brown
Henry, 83, Johnson
Maria, 61, Miller
Kimberly, 26, Washington
Dominique, 28, Olson
Helen, 69, Strickland
Jenny, 25, Hampton
Shelby, 56, Brown
David, 42, Stewart
Brandon, 89, Brown
Catherine, 35, David
Erica, 46, Rodriguez
Chris, 42, Schneider
Allison, 100, Wallace
Kevin, 71, Holland
Melissa, 42, Allen
Jordan, 11, Buchanan
Anthony, 62, Petersen
Robert, 1, Jenkins
Michael, 100, Lynch
Tammy, 65, Sanchez
Renee, 12, Kim
Mary, 76, Carter
Jon, 19, Meza
Ronald, 80, Landry
Christina, 47, Jones
Kari, 44, Donovan
Brian, 60, Long
Shawn, 30, Ramirez
Marie, 19, Thompson
Marcus, 46, Davidson
Ashley, 74, Hill
Daniel, 88, Reilly
Roberta, 15, Reynolds
Katie, 38, Brown
Jennifer, 2, Flores
Kyle, 84, Miller
Jose, 13, Decker
Elizabeth, 42, Diaz
Dennis, 17, Moyer
Renee, 70, Garcia
Lisa, 75, Williams
Susan, 74, Robinson
Kimberly, 40, Chapman
Christopher, 50, Coleman
Susan, 49, Bradford
Jacob, 69, Rivera
Michael, 38, Wilson
Cynthia, 29, Ramirez
Jesse, 49, Hess
Ronald, 87, Norman
Laura, 75, Swanson
Kim, 16, Olson
Kelly, 94, Wilkins
Shelia, 13, Armstrong
Steven, 53, Hamilton
Vanessa, 40, Robinson
Heather, 60, Stevens
Joan, 71, Carr
Earl, 25, Smith
Jared, 46, Crawford
Collin, 90, Brown
Susan, 93, Young
Linda, 58, Peterson
Kelli, 65, Hunter
Jose, 9, Gray
Jean, 64, Smith
Cody, 75, Anderson
Amy, 20, Robinson
Kevin, 9, Martin
Tanya, 43, Martin
Amy, 35, Jones
Teresa, 86, Phillips
Brenda, 28, Fitzpatrick
Robert, 39, Martin
John, 18, Mcintosh
Olivia, 68, Moore
Alexander, 56, Gonzalez
Ronald, 24, Taylor
Peter, 49, Murray
Dawn, 18, Gomez
Tiffany, 28, Lawrence
Krystal, 98, Rollins
Michael, 54, Gregory
Amy, 22, Smith
Bailey, 3, Black
Timothy, 45, Grant
Cynthia, 90, Giles
Garrett, 41, Olson
Charlene, 68, Potter
Jose, 43, Barber
Aaron, 75, Shaw
Cheyenne, 29, Smith
Sean, 26, Martin
Brandy, 37, Park
Sharon, 32, Fisher
Erika, 76, Hendricks
Andrew, 72, Carroll
Joseph, 10, Haynes
Jeremy, 65, Lee
William, 64, Leonard
Jennifer, 57, Ramirez
Cynthia, 3, Short
Christopher, 17, Flores
Michael, 6, Cantu
Stacy, 15, Johnson
Stacy, 85, Butler
Heather, 18, Powell
Kayla, 47, Gonzalez
Steven, 36, Kelley
Jasmine, 30, Lozano
Lori, 25, Thompson
Kimberly, 19, Garcia
Lisa, 3, Mayo
Bruce, 12, Davidson
John, 26, Taylor
Robert, 24, Morrison
Kaitlin, 10, Lindsey
Kevin, 78, Joseph
Kenneth, 80, Brown
Scott, 91, Fowler
Evan, 53, Green
Mary, 7, Stein
Brenda, 67, Nguyen
Crystal, 24, Martinez
Bryan, 93, Young
Tabitha, 76, Armstrong
Katie, 33, Gilbert
Stephanie, 55, Mendoza
Samantha, 16, James
Robert, 43, Hall
James, 54, Baldwin
Amy, 22, Crawford
Daniel, 53, Knight
Courtney, 32, Griffin
Sabrina, 40, Moore
Tara, 20, Norton
Benjamin, 97, Hernandez
Michael, 46, Brown
Aaron, 5, Oconnor
James, 55, Smith
Jessica, 30, Nielsen
Mary, 67, Gonzalez
Calvin, 3, Lopez
Jose, 14, Love
Aaron, 96, Anderson
Ashley, 8, Cooper
Melissa, 28, Harris
Barry, 38, Ellison
Gary, 95, Williamson
Donna, 36, Guerrero
Tanner, 64, Maldonado
Michael, 44, Leonard
Patricia, 64, Thomas
Christopher, 92, Roberts
Michael, 57, Stanton
Pamela, 8, Gonzalez
Margaret, 32, Stephenson
Nicole, 65, Parker
Renee, 28, Rich
Christopher, 100, Stephenson
Todd, 91, Suarez
Jorge, 99, Jones
James, 44, Anderson
Brittany, 84, Haas
Lisa, 71, Moran
Geoffrey, 15, King
Jeanne, 99, Arnold
Amy, 77, Bond
Joshua, 61, Contreras
Manuel, 58, Long
Veronica, 15, Young
Janice, 40, Chavez
Jackson, 10, Barron
Omar, 56, Bryant
Ryan, 58, Mendez
Meagan, 7, Pearson
Maria, 47, Howell
Natasha, 27, Wright
Jamie, 70, Nelson
Ashley, 9, Smith
Amber, 60, Stevens
Brenda, 21, Walker
Kevin, 36, Garcia
Jeffrey, 38, Flowers
Melissa, 39, Thomas
Jeffrey, 27, Wheeler
Rodney, 14, Jacobs
Dillon, 42, Williams
Douglas, 10, Gordon
Cassandra, 63, Coleman
Andrea, 25, Esparza
Dustin, 33, Lowe
Jennifer, 27, Ayers
Donald, 74, Johnson
Stephanie, 86, Shaw
Gary, 58, Mclean
Jillian, 47, Harris
Christopher, 1, Jones
Victor, 18, Stewart
Jennifer, 85, Riggs
Jocelyn, 41, Green
Michael, 82, Roach
Johnathan, 52, Lutz
Samantha, 100, Simpson
Eric, 68, Weber
Mark, 49, Campbell
Justin, 46, Davis
Timothy, 86, Adams
Michelle, 59, Kelly
Martin, 63, Reeves
Katelyn, 24, Jackson
Alexander, 91, Stevens
Amber, 75, Anderson
Dennis, 13, Reynolds
James, 70, Floyd
Marissa, 71, Roberts
Melissa, 69, Cunningham
Jennifer, 65, James
Daniel, 53, Reed
Christopher, 2, Smith
Jonathan, 95, Smith
Jesse, 73, Roberts
Lori, 95, Johnson
Paul, 90, Heath
Tina, 29, Wade
Vincent, 31, Marshall
Kimberly, 29, Olson
Lisa, 71, Mullins
Matthew, 38, Smith
Kimberly, 31, Lindsey
Joanne, 58, Jones
Emily, 47, Willis
David, 48, Nguyen
Holly, 38, King
Mia, 11, Smith
Christopher, 5, Morales
Ashley, 50, Johnson
James, 79, Hobbs
Ronald, 97, Baker
Richard, 69, Willis
Matthew, 46, Mejia
Mitchell, 94, Bennett
Jason, 22, Burke
Kayla, 85, Miller
Kenneth, 84, Johnson
Cindy, 85, Robinson
Isaiah, 57, Huffman
Christopher, 99, Sanchez
Alejandra, 98, Jordan
Philip, 16, Krueger
Nicholas, 75, Parker
Jamie, 28, Washington
Jesus, 97, Long
Jordan, 12, Haney
Allen, 76, Evans
Barbara, 41, King
Angela, 42, Schwartz
Ray, 28, Lin
Carla, 42, Woods
Jennifer, 63, Mckay
Maurice, 12, Young
Jenna, 33, Nelson
Timothy, 3, Figueroa
Katherine, 15, Flores
Taylor, 53, Hart
Stacey, 16, Martin
Alexandra, 76, Pearson
Joseph, 27, Carrillo
Carol, 7, Keith
Anna, 61, Davidson
Linda, 33, Rodriguez
Javier, 48, Robinson
Cheyenne, 2, Kline
Joshua, 84, Johnston
Donna, 52, Brown
Gregory, 19, Sims
Marcus, 52, Webb
Kelly, 78, Torres
Joshua, 79, Williamson
Brittany, 44, Collins
Gabriel, 100, Green
Jennifer, 39, Vasquez
Joseph, 22, Stevens
Katherine, 47, Chen
Jonathan, 41, Sharp
Jamie, 24, Wallace
Richard, 47, Mullen
Kathleen, 60, Roberts
Whitney, 69, Rogers
Joseph, 37, Weber
Francis, 13, Ross
Judy, 55, Church
Janice, 45, Jones
George, 19, Marquez
Ryan, 61, Lee
Charles, 13, Webster
Donald, 63, Colon
Juan, 87, Jacobs
Shawn, 58, Robinson
Stephanie, 11, Cherry
David, 52, Wells
Willie, 78, Green
Gregory, 29, Shelton
Denise, 17, Smith
Bethany, 75, Wilson
Loretta, 26, Edwards
Jodi, 21, Wolfe
Tamara, 26, Stewart
David, 63, Salazar
Richard, 89, Cain
Amy, 1, Ayers
Christina, 6, Mitchell
Mark, 99, Martinez
Harold, 6, Hill
Jaime, 22, Johnson
Edward, 10, Forbes
Meghan, 50, Wilson
George, 84, Miller
Paula, 52, Miller
Patricia, 79, Lamb
Angel, 75, Powell
Karen, 33, Gonzalez
Christie, 85, Davila
Kimberly, 13, Johnson
Dakota, 45, Yu
Richard, 19, Boyd
Shaun, 50, Garcia
Devon, 68, Barnett
David, 54, Davis
Timothy, 84, Terry
Katherine, 19, Kennedy
John, 11, Guzman
Robert, 54, Fernandez
Michelle, 62, Kelley
Marcia, 37, Williams
Amber, 5, Harvey
Paul, 55, Ward
Alexander, 34, King
Kimberly, 59, Howard
Daniel, 47, Harris
Jennifer, 54, Little
Timothy, 89, Montgomery
Emily, 28, Stevens
Felicia, 73, Webb
Sherri, 27, Glass
David, 14, Newman
David, 58, Jones
Kyle, 69, Hayes
Anthony, 91, Taylor
Ariel, 67, Marks
Andrew, 50, Blanchard
Aaron, 73, Myers
Tiffany, 33, Carter
Laura, 73, Knight
Michael, 52, Jones
Travis, 56, Johnston
Laura, 30, Hammond
Bradley, 94, Roberts
Eric, 44, Smith
Taylor, 48, Quinn
Valerie, 37, Schaefer
Sabrina, 88, Lambert
Joseph, 42, Figueroa
Alyssa, 81, Baldwin
Kristina, 80, Ortega
Amber, 22, Nichols
Grant, 37, Allen
Emily, 82, Andrade
Edward, 77, Sullivan
Nicholas, 10, Roberts
Kelly, 15, Snyder
John, 23, Parker
Rebecca, 80, Estrada
Matthew, 60, Garcia
Dean, 72, Schmitt
Gina, 78, Garcia
Christopher, 65, Martin
Andrea, 11, Gregory
Peter, 97, Salinas
Tyler, 89, Cooper
Jessica, 1, Franklin
Caleb, 53, Oconnor
Brad, 44, Gibbs
Andrew, 42, Reed
Bryan, 2, Romero
Chad, 53, Lewis
Stanley, 47, Alvarado
Kristi, 83, Johnson
Kyle, 9, Clark
Karen, 37, Arnold
Justin, 97, Smith
Krista, 42, Singh
Nicole, 83, Becker
Karen, 6, Webb
Evan, 9, Hernandez
Teresa, 45, Pineda
Danielle, 2, Crawford
Steven, 62, Hamilton
Stephen, 89, Crosby
Adam, 74, Grant
Dawn, 56, Mccullough
Jose, 98, Mora
Dawn, 8, Walker
John, 53, Allen
Matthew, 7, Garcia
James, 60, Rivas
Aaron, 20, Bradley
Tanya, 12, Sullivan
Anthony, 2, Diaz
Rachel, 41, Newton
Amy, 28, Smith
Michael, 82, Brown
Justin, 15, Rogers
Jacqueline, 65, Delgado
Brett, 9, Whitney
Heather, 76, Terrell
Karen, 29, Montoya
Donna, 31, Pittman
Joshua, 95, Compton
Amy, 60, Manning
Amber, 90, Thompson
Jennifer, 91, Johnson
Kelly, 62, Young
Alan, 35, Bennett
Rachel, 95, Miller
Kaylee, 6, Middleton
Christopher, 85, Martin
Gail, 96, Myers
Robert, 22, Sanford
Stacy, 27, Gilbert
Beth, 73, Ramirez
Veronica, 93, Ramos
Jacob, 51, Pham
Vanessa, 82, Rodriguez
Jamie, 34, Mason
Michael, 99, Berger
Daniel, 44, Garcia
Julie, 6, Carlson
Tonya, 76, Garza
Steven, 9, Boyer
Leslie, 23, Gomez
Brian, 33, Sanders
Kimberly, 10, Anderson
Shelia, 13, Howard
Matthew, 30, Ward
Laurie, 14, Hicks
Alyssa, 49, Moore
Victor, 73, Garcia
Sonya, 70, Jarvis
Alexandra, 34, Simon
Paul, 27, Smith
Angela, 24, Hall
Virginia, 57, Davis
Ryan, 51, Hall
Jason, 50, Smith
Jeff, 38, Jenkins
Dennis, 85, Smith
Angela, 43, Wyatt
Linda, 19, Dunn
Kenneth, 83, Lawrence
Jeffrey, 100, Hardin
Nicole, 93, Schaefer
Antonio, 44, Hernandez
Scott, 27, Sanders
Monica, 33, Jacobs
Joe, 46, Palmer
Daniel, 60, Santana
Karen, 83, Williams
Sandra, 46, Hampton
Shannon, 75, Castaneda
Nathan, 69, Ramirez
Kevin, 26, Kaufman
Crystal, 100, Torres
Madeline, 36, Mata
Kelly, 48, Pierce
Nathan, 38, Garrett
Dana, 90, Parker
Matthew, 82, Nelson
Patricia, 58, Booker
Donald, 94, Mcdaniel
Jillian, 15, Mckenzie
Carl, 41, Reeves
Taylor, 9, Avery
Leslie, 26, Ferguson
Jody, 36, Robinson
Matthew, 50, Mccoy
Nicole, 29, Galvan
Adrian, 56, Webster
Ashlee, 84, Taylor
Amy, 27, Greer
Lisa, 99, Tate
Jenny, 52, Beck
Sarah, 47, Martin
Mary, 39, Fry
Joshua, 61, Mendoza
Catherine, 77, Gaines
Melissa, 94, Ward
John, 62, Harris
Heather, 93, Rogers
Brittany, 89, Kim
Steven, 49, Collins
Joseph, 74, Nguyen
Alexis, 23, Larson
Nancy, 85, Newman
Jordan, 59, Thomas
Jessica, 68, Butler
Calvin, 52, Williams
Anna, 15, Bartlett
Jason, 11, Mendez
Ethan, 25, Church
Erika, 71, Barnes
Kimberly, 55, Ramsey
Mark, 73, George
James, 42, Lyons
Lisa, 98, Rich
Taylor, 50, Fowler
Michael, 9, Lee
Ryan, 62, Oneal
Austin, 68, Valentine
Ryan, 70, Khan
Belinda, 47, Moody
Samantha, 62, Nunez
Curtis, 4, Fernandez
Michael, 95, Smith
Gail, 13, Rivera
Devon, 94, Montgomery
Thomas, 41, Kennedy
Paul, 70, Oneal
Brittney, 26, Lyons
Emily, 24, Fitzpatrick
Randall, 69, Morrison
Alexandra, 32, Wolf
Patrick, 11, Rodriguez
Dorothy, 5, Morrow
Thomas, 66, Kennedy
Richard, 72, Hayes
Nicole, 68, Jimenez
Joshua, 2, Powell
Joshua, 70, White
Elizabeth, 42, Larson
Laura, 27, Norman
Amanda, 79, Bernard
Leonard, 11, Ford
Jimmy, 55, Graham
Robert, 38, Colon
Rebecca, 69, Cline
Charles, 58, Wilson
Michael, 27, Reid
Kara, 68, Villarreal
Robert, 85, Dudley
Mark, 54, Austin
Christopher, 41, Wang
Maria, 29, Smith
Samuel, 82, Jacobs
Kimberly, 61, Garza
Lisa, 12, Woods
Russell, 29, Valencia
Kathryn, 3, Wilson
Jason, 80, Taylor
Kevin, 78, Cole
Ashley, 5, Cook
Melissa, 69, Kim
Darius, 97, Allen
Katherine, 14, Moses
Stephanie, 63, Hernandez
Patricia, 56, Wong
Jennifer, 17, Morris
Catherine, 68, Wagner
Valerie, 22, Miller
Jennifer, 19, Howard
Hector, 51, Brooks
Diana, 98, Ruiz
Crystal, 16, Bell
Michael, 6, Sosa
Christian, 9, Bryant
Ashley, 53, Cox
Rebecca, 25, Koch
Andre, 84, Cantrell
